sudoku, 4, 0.13108959999954095
sudoku, 4, 0.125870699999723
sudoku, 4, 0.12622099999953207
sudoku, 4, 0.12573890000021493
sudoku, 4, 0.12757870000041294
sudoku, 9, 3.597233200000119
sudoku, 9, 3.480188700000326
sudoku, 9, 3.446999599999799
sudoku, 9, 3.3657443000001876
sudoku, 9, 3.5766020000000935
sudoku, 16, 41.42216019999978
sudoku, 16, 41.54158970000026
sudoku, 16, 41.511697599999934
sudoku, 16, 41.63705850000042
sudoku, 16, 41.52388619999965
sudoku, 25, 288.89543409999897
sudoku, 25, 301.92384459999994
sudoku, 25, 307.71577759999855
sudoku, 25, 314.9213227
sudoku, 25, 317.80433000000085
nqueens, 4, 0.04247810000015306
nqueens, 4, 0.04091630000039004
nqueens, 4, 0.041744699999981094
nqueens, 4, 0.04099830000086513
nqueens, 4, 0.040762399999948684
nqueens, 5, 0.0780412999993132
nqueens, 5, 0.07862280000153987
nqueens, 5, 0.07655989999875601
nqueens, 5, 0.07657479999943462
nqueens, 5, 0.07926570000017819
nqueens, 6, 0.14070670000000973
nqueens, 6, 0.1328881999997975
nqueens, 6, 0.13364800000090327
nqueens, 6, 0.13135499999953026
nqueens, 6, 0.13143630000013218
nqueens, 7, 0.2117820000003121
nqueens, 7, 0.2085378000010678
nqueens, 7, 0.2132398000012472
nqueens, 7, 0.20825040000090667
nqueens, 7, 0.21038010000120266
nqueens, 8, 0.30660209999950894
nqueens, 8, 0.3283603999989282
nqueens, 8, 0.3326027000002796
nqueens, 8, 0.3164296999984799
nqueens, 8, 0.3149235000000772
nqueens, 9, 0.4329547999986971
nqueens, 9, 0.42804009999963455
nqueens, 9, 0.429310000001351
nqueens, 9, 0.4371443999989424
nqueens, 9, 0.4396622000003845
nqueens, 10, 0.5972340999996959
nqueens, 10, 0.6234299999996438
nqueens, 10, 0.6429012999997212
nqueens, 10, 0.6383882999998605
nqueens, 10, 0.6272368999998434
nqueens, 11, 0.865769399999408
nqueens, 11, 0.859440000000177
nqueens, 11, 0.8462524999995367
nqueens, 11, 0.8276072000007844
nqueens, 11, 0.8096821999988606
nqueens, 12, 1.1193287000005512
nqueens, 12, 1.0894434999991063
nqueens, 12, 1.1071663000002445
nqueens, 12, 1.081822199999806
nqueens, 12, 1.0853285000011965
